changeset,timestamp,tags,id,version,lon,lat,name,operator,ref,public_transport,geometry,osm_type
34,1648542183,"{""bench"":""yes"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.16"",""platform:width"":""7.1"",""ref:IFOPT"":""de:09161:505:0:1"",""shelter"":""no""}",270494219,12,11.470939,48.769596,Marienplatz,,,platform,POINT (11.470938682556152 48.769596099853516),node
89,1648541894,"{""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.11"",""platform:width"":""2.2"",""ref:IFOPT"":""de:09161:8011:0:2"",""shelter"":""yes"",""wheelchair"":""no""}",286134215,15,11.4355,48.787567,Mariengarten,,,platform,POINT (11.435500144958496 48.787567138671875),node
-81,1648131567,"{""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.11"",""platform:width"":""2"",""ref:IFOPT"":""de:09161:8010:0:2"",""shelter"":""no""}",286134221,15,11.43899,48.78513,Am Augraben,,,platform,POINT (11.438989639282227 48.78512954711914),node
57,1648124236,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.1"",""platform:width"":""1.5"",""ref:IFOPT"":""de:09161:8013:0:1"",""shelter"":""no""}",286134226,16,11.438299,48.79021,Weckenweg,,,platform,POINT (11.438299179077148 48.79021072387695),node
126,1648033401,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""platform:width"":""1.6"",""ref:IFOPT"":""de:09161:1521:0:1"",""shelter"":""no""}",288677084,4,11.356875,48.77059,Ochsenmühle,,,platform,POINT (11.3568754196167 48.770591735839844),node
-109,1648077115,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.09"",""platform:width"":""2.3"",""ref:IFOPT"":""de:09161:675:0:1"",""shelter"":""no"",""tactile_paving"":""no"",""wheelchair"":""limited""}",293900616,17,11.419949,48.74598,Spitalhofstraße,,,platform,POINT (11.41994857788086 48.74597930908203),node
-109,1648077115,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.07"",""platform:width"":""2.3"",""ref:IFOPT"":""de:09161:675:0:2"",""shelter"":""no"",""tactile_paving"":""no"",""wheelchair"":""limited""}",293900618,17,11.419832,48.745846,Spitalhofstraße,,,platform,POINT (11.419832229614258 48.745845794677734),node
88,1648127270,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.1"",""platform:width"":""2.3"",""ref:IFOPT"":""de:09161:785:0:1"",""shelter"":""no"",""tactile_paving"":""no""}",293900641,14,11.414865,48.745102,Zeppelinstraße,,,platform,POINT (11.414864540100098 48.74510192871094),node
88,1648127270,"{""bench"":""no"",""bus"":""yes"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.12"",""platform:width"":""2.3"",""ref:IFOPT"":""de:09161:785:0:2"",""shelter"":""no"",""tactile_paving"":""no""}",293900646,14,11.414886,48.745018,Zeppelinstraße,,,platform,POINT (11.414886474609375 48.745018005371094),node
-20,1669478927,"{""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""timetable"",""highway"":""platform"",""kerb"":""raised"",""kerb:height"":""0.11"",""lit"":""yes"",""platform:width"":""6.2"",""ref:IFOPT"":""de:09161:7541:0:8"",""route_ref"":""20"",""shelter"":""yes"",""tactile_paving"":""no""}",293900651,21,11.424206,48.744488,"Schulzentrum SW, Gustav-Adolf-Straße",,4,platform,POINT (11.424205780029297 48.74448776245117),node
