"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"0";"S";"de:09161:1034";"de:09161:1034";"IN, Altwasserweg";"48,75309";"11,47567";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"1";"Q";"de:09161:1034:0:1";"de:09161:1034";"1";"48,75311";"11,47668";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"2";"Q";"de:09161:1034:0:2";"de:09161:1034";"2";"48,75307";"11,47467";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"3";"S";"de:09161:109";"de:09161:109";"IN, Brodmühlweg";"48,76316";"11,41123";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"4";"Q";"de:09161:109:0:2";"de:09161:109";"2";"48,76316";"11,41123";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"5";"S";"de:09161:113";"de:09161:113";"IN, Buchnerstraße";"48,75192";"11,44646";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"6";"Q";"de:09161:113:0:1";"de:09161:113";"1";"48,7519";"11,44655";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"7";"Q";"de:09161:113:0:2";"de:09161:113";"2";"48,75196";"11,44641";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"8";"S";"de:09161:127";"de:09161:127";"IN, Canisiusstraße";"48,73807";"11,44606";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"9";"Q";"de:09161:127:0:1";"de:09161:127";"1";"48,73805";"11,44597";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"10";"Q";"de:09161:127:0:10";"de:09161:127";"10";"48,73754";"11,4457";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"11";"Q";"de:09161:127:0:2";"de:09161:127";"2";"48,73809";"11,44608";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"12";"Q";"de:09161:127:0:20";"de:09161:127";"20";"48,73731";"11,44572";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"13";"S";"de:09161:128";"de:09161:128";"IN, Caspar-Schoppe-Straße";"48,73864";"11,41769";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"14";"Q";"de:09161:128:0:1";"de:09161:128";"1";"48,73889";"11,41814";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"15";"Q";"de:09161:128:0:2";"de:09161:128";"2";"48,73837";"11,41724";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"16";"S";"de:09161:137";"de:09161:137";"IN, Dr.-Maier-Straße";"48,73677";"11,43371";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"17";"Q";"de:09161:137:0:2";"de:09161:137";"2";"48,73676";"11,43369";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"18";"S";"de:09161:1489";"de:09161:1489";"Gerolfing, Handwerkerhof";"48,76051";"11,34474";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"19";"Q";"de:09161:1489:0:99";"de:09161:1489";"99";"48,76051";"11,34474";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"20";"S";"de:09161:1492";"de:09161:1492";"IN, Audi-GVZ Halle O";"48,78496";"11,39591";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"21";"Q";"de:09161:1492:0:1";"de:09161:1492";"1";"48,78488";"11,39586";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"22";"Q";"de:09161:1492:0:2";"de:09161:1492";"2";"48,78487";"11,39584";"00000000";"-";"-";"-";"Unserved";"InOrder";"";"BEG";"-";"-";"-"
"23";"Q";"de:09161:1492:0:99";"de:09161:1492";"99";"48,78504";"11,39596";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"24";"S";"de:09161:1521";"de:09161:1521";"Gerolfing, Ochsenmühle";"48,77055";"11,35674";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"25";"Q";"de:09161:1521:0:1";"de:09161:1521";"1";"48,77061";"11,35676";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"26";"Q";"de:09161:1521:0:2";"de:09161:1521";"2";"48,77048";"11,35674";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"27";"S";"de:09161:1561";"de:09161:1561";"IN, Schwäblstraße";"48,75599";"11,43816";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"28";"Q";"de:09161:1561:0:98";"de:09161:1561";"98";"48,75583";"11,43836";"00000000";"-";"-";"-";"Unknown";"Unknown";"98";"BEG";"-";"-";"-"
"29";"Q";"de:09161:1561:0:99";"de:09161:1561";"99";"48,75617";"11,43799";"00000000";"-";"-";"-";"Unknown";"Unknown";"99";"BEG";"-";"-";"-"
"30";"S";"de:09161:1567";"de:09161:1567";"Gerolfing, Am Gwendt";"48,76047";"11,35127";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"31";"Q";"de:09161:1567:0:1";"de:09161:1567";"1";"48,7606";"11,35135";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"32";"Q";"de:09161:1567:0:2";"de:09161:1567";"2";"48,76035";"11,35118";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"33";"S";"de:09161:1588";"de:09161:1588";"IN, Halbritterstraße";"48,7276";"11,44022";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
